Statistik från Skolverket, https://www.skolverket.se

Grundskola - Betyg årskurs 6, andel som fått godkänt betyg (A-E), per kön
Valt läsår: 2024/25

;;;;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;Antal elever;Antal ämnesbetyg (genomsnitt);Andel (%) elever som fått godkänt betyg i alla ämnen;Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;
Vindeln;2404;Västerbottens län;24;Samtliga;27;16,8;~100;..;..;34;16,8;58,8;14,7;26,5;
Vindeln;2404;Västerbottens län;24;Kommunal;27;16,8;~100;..;..;34;16,8;58,8;14,7;26,5;
Vingåker;0428;Södermanlands län;04;Samtliga;41;16,6;56,1;24,4;19,5;57;16,8;66,7;12,3;21,1;
Vingåker;0428;Södermanlands län;04;Kommunal;37;17,1;56,8;24,3;18,9;54;17,1;64,8;13,0;22,2;
Vingåker;0428;Södermanlands län;04;Enskild;..;..;..;..;..;..;..;..;.;.;
Vårgårda;1442;Västra Götalands län;14;Samtliga;63;16,9;79,4;7,9;12,7;67;16,8;67,2;..;..;
Vårgårda;1442;Västra Götalands län;14;Kommunal;63;16,9;79,4;7,9;12,7;67;16,8;67,2;..;..;
Vänersborg;1487;Västra Götalands län;14;Samtliga;226;15,9;66,8;13,3;19,9;195;15,6;67,2;12,3;20,5;
Vänersborg;1487;Västra Götalands län;14;Kommunal;202;16,3;64,9;13,9;21,3;164;16,2;67,1;12,2;20,7;
Vänersborg;1487;Västra Götalands län;14;Enskild;24;12,3;~100;..;..;31;12,1;67,7;..;..;
Vännäs;2460;Västerbottens län;24;Samtliga;48;16,9;83,3;..;..;65;16,6;80,0;..;..;
Vännäs;2460;Västerbottens län;24;Kommunal;47;17,0;85,1;..;..;62;16,8;80,6;..;..;
Vännäs;2460;Västerbottens län;24;Enskild;..;..;.;.;..;..;..;..;.;..;
Värmdö;0120;Stockholms län;01;Samtliga;229;16,8;79,9;10,5;9,6;270;16,8;77,8;6,7;15,6;
Värmdö;0120;Stockholms län;01;Kommunal;177;16,8;76,8;11,3;11,9;209;16,7;74,2;7,2;18,7;
Värmdö;0120;Stockholms län;01;Enskild;52;17,1;90,4;..;..;61;17,0;90,2;..;..;
Värnamo;0683;Jönköpings län;06;Samtliga;194;17,0;71,1;11,9;17,0;239;17,2;70,3;13,0;16,7;
Värnamo;0683;Jönköpings län;06;Kommunal;194;17,0;71,1;11,9;17,0;239;17,2;70,3;13,0;16,7;
Västervik;0883;Kalmar län;08;Samtliga;188;16,4;66,5;10,6;22,9;194;16,5;59,8;17,0;23,2;
Västervik;0883;Kalmar län;08;Kommunal;186;16,5;66,1;10,8;23,1;190;16,6;60,0;16,8;23,2;
Västervik;0883;Kalmar län;08;Enskild;..;..;..;.;.;..;..;..;..;..;
Västerås;1980;Västmanlands län;19;Samtliga;938;16,6;73,3;12,6;14,1;957;16,5;70,4;13,2;16,4;
Västerås;1980;Västmanlands län;19;Kommunal;643;16,7;72,6;12,9;14,5;734;16,5;71,3;13,2;15,5;
Västerås;1980;Västmanlands län;19;Enskild;295;16,3;74,9;11,9;13,2;223;16,4;67,7;13,0;19,3;
Växjö;0780;Kronobergs län;07;Samtliga;604;16,9;74,2;9,9;15,9;627;16,9;70,7;9,4;19,9;
Växjö;0780;Kronobergs län;07;Kommunal;511;17,0;75,3;9,2;15,5;554;17,0;72,9;8,5;18,6;
Växjö;0780;Kronobergs län;07;Enskild;93;16,6;67,7;14,0;18,3;73;16,8;53,4;16,4;30,1;
Ydre;0512;Östergötlands län;05;Samtliga;17;11,9;~100;.;..;23;12,0;78,3;..;..;
Ydre;0512;Östergötlands län;05;Kommunal;17;11,9;~100;.;..;23;12,0;78,3;..;..;
Ystad;1286;Skåne län;12;Samtliga;194;16,9;76,8;6,7;16,5;204;16,9;66,7;7,8;25,5;
Ystad;1286;Skåne län;12;Kommunal;137;17,0;76,6;6,6;16,8;156;17,0;66,0;9,0;25,0;
Ystad;1286;Skåne län;12;Enskild;57;16,8;77,2;..;..;48;16,4;68,8;..;..;
Åmål;1492;Västra Götalands län;14;Samtliga;50;16,9;60,0;12,0;28,0;78;16,7;56,4;12,8;30,8;
Åmål;1492;Västra Götalands län;14;Kommunal;35;17,0;54,3;14,3;31,4;64;16,6;53,1;12,5;34,4;
Åmål;1492;Västra Götalands län;14;Enskild;15;16,8;~100;..;..;14;17,0;~100;..;..;
Ånge;2260;Västernorrlands län;22;Samtliga;53;14,4;71,7;18,9;9,4;31;14,8;64,5;19,4;16,1;
Ånge;2260;Västernorrlands län;22;Kommunal;45;14,9;71,1;17,8;11,1;27;15,3;66,7;..;..;
Ånge;2260;Västernorrlands län;22;Enskild;..;11,6;~100;..;.;..;..;..;..;..;
Åre;2321;Jämtlands län;23;Samtliga;55;17,0;76,4;..;..;64;17,0;70,3;14,1;15,6;
Åre;2321;Jämtlands län;23;Kommunal;55;17,0;76,4;..;..;64;17,0;70,3;14,1;15,6;
Årjäng;1765;Värmlands län;17;Samtliga;52;16,7;63,5;9,6;26,9;54;16,9;64,8;16,7;18,5;
Årjäng;1765;Värmlands län;17;Kommunal;50;16,7;62,0;10,0;28,0;53;16,9;64,2;17,0;18,9;
Årjäng;1765;Värmlands län;17;Enskild;..;..;..;.;.;..;..;..;.;.;
Åsele;2463;Västerbottens län;24;Samtliga;10;16,8;~100;..;..;18;16,7;44,4;..;..;
Åsele;2463;Västerbottens län;24;Kommunal;10;16,8;~100;..;..;18;16,7;44,4;..;..;
Åstorp;1277;Skåne län;12;Samtliga;105;17,0;47,6;16,2;36,2;106;17,1;50,9;14,2;34,9;
Åstorp;1277;Skåne län;12;Kommunal;105;17,0;47,6;16,2;36,2;106;17,1;50,9;14,2;34,9;
Åtvidaberg;0561;Östergötlands län;05;Samtliga;69;16,8;59,4;11,6;29,0;57;16,7;59,6;12,3;28,1;
Åtvidaberg;0561;Östergötlands län;05;Kommunal;69;16,8;59,4;11,6;29,0;57;16,7;59,6;12,3;28,1;
Älmhult;0765;Kronobergs län;07;Samtliga;95;17,0;77,9;9,5;12,6;96;16,9;63,5;12,5;24,0;
Älmhult;0765;Kronobergs län;07;Kommunal;84;17,0;75,0;10,7;14,3;86;16,9;60,5;12,8;26,7;
Älmhult;0765;Kronobergs län;07;Enskild;11;17,0;100,0;.;.;10;16,8;~100;..;.;
Älvdalen;2039;Dalarnas län;20;Samtliga;33;13,8;78,8;..;..;41;13,0;56,1;..;..;
Älvdalen;2039;Dalarnas län;20;Kommunal;33;13,8;78,8;..;..;41;13,0;56,1;..;..;
Älvkarleby;0319;Uppsala län;03;Samtliga;60;17,1;61,7;20,0;18,3;71;17,0;52,1;8,5;39,4;
Älvkarleby;0319;Uppsala län;03;Kommunal;39;17,1;61,5;17,9;20,5;46;16,9;45,7;10,9;43,5;
Älvkarleby;0319;Uppsala län;03;Enskild;21;17,1;61,9;..;..;25;17,1;64,0;..;..;
Älvsbyn;2560;Norrbottens län;25;Samtliga;46;17,0;76,1;..;..;44;17,0;61,4;11,4;27,3;
Älvsbyn;2560;Norrbottens län;25;Kommunal;46;17,0;76,1;..;..;44;17,0;61,4;11,4;27,3;
Ängelholm;1292;Skåne län;12;Samtliga;250;15,9;79,2;10,0;10,8;276;15,8;71,0;12,7;16,3;
Ängelholm;1292;Skåne län;12;Kommunal;250;15,9;79,2;10,0;10,8;270;15,7;70,4;13,0;16,7;
Ängelholm;1292;Skåne län;12;Enskild;.;.;.;.;.;6;17,2;100,0;.;.;
Öckerö;1407;Västra Götalands län;14;Samtliga;63;16,3;55,6;28,6;15,9;70;16,2;78,6;8,6;12,9;
Öckerö;1407;Västra Götalands län;14;Kommunal;56;16,8;57,1;26,8;16,1;60;16,9;78,3;10,0;11,7;
Öckerö;1407;Västra Götalands län;14;Enskild;7;12,0;..;..;..;10;12,0;~100;.;..;
Ödeshög;0509;Östergötlands län;05;Samtliga;26;16,7;61,5;..;..;27;16,9;59,3;..;..;
Ödeshög;0509;Östergötlands län;05;Kommunal;26;16,7;61,5;..;..;27;16,9;59,3;..;..;
Örebro;1880;Örebro län;18;Samtliga;976;16,8;71,1;11,3;17,6;959;16,7;69,6;11,1;19,4;
Örebro;1880;Örebro län;18;Kommunal;687;16,8;66,1;12,1;21,8;704;16,7;67,6;10,5;21,9;
Örebro;1880;Örebro län;18;Enskild;289;16,8;83,0;9,3;7,6;255;16,8;74,9;12,5;12,5;
Örkelljunga;1257;Skåne län;12;Samtliga;55;15,6;72,7;14,5;12,7;62;15,7;54,8;21,0;24,2;
Örkelljunga;1257;Skåne län;12;Kommunal;48;15,5;68,8;16,7;14,6;58;15,6;53,4;22,4;24,1;
Örkelljunga;1257;Skåne län;12;Enskild;..;16,6;100,0;.;.;..;..;..;.;..;
Örnsköldsvik;2284;Västernorrlands län;22;Samtliga;323;16,9;75,9;11,5;12,7;340;16,8;69,7;11,8;18,5;
Örnsköldsvik;2284;Västernorrlands län;22;Kommunal;310;16,9;76,1;11,3;12,6;321;16,8;68,8;11,5;19,6;
Örnsköldsvik;2284;Västernorrlands län;22;Enskild;13;16,5;~100;..;..;19;16,6;~100;..;.;
Östersund;2380;Jämtlands län;23;Samtliga;360;15,5;73,1;9,7;17,2;345;15,2;68,7;10,7;20,6;
Östersund;2380;Jämtlands län;23;Kommunal;263;16,1;74,1;8,4;17,5;271;15,8;68,6;10,0;21,4;
Östersund;2380;Jämtlands län;23;Enskild;97;13,8;70,1;13,4;16,5;74;13,0;68,9;13,5;17,6;
Österåker;0117;Stockholms län;01;Samtliga;291;17,0;75,3;11,0;13,7;284;17,0;71,8;9,9;18,3;
Österåker;0117;Stockholms län;01;Kommunal;190;17,0;73,2;13,7;13,2;188;17,0;72,3;9,0;18,6;
Österåker;0117;Stockholms län;01;Enskild;101;17,0;79,2;5,9;14,9;96;16,9;70,8;11,5;17,7;
Östhammar;0382;Uppsala län;03;Samtliga;126;17,0;72,2;12,7;15,1;139;16,9;61,2;15,1;23,7;
Östhammar;0382;Uppsala län;03;Kommunal;126;17,0;72,2;12,7;15,1;139;16,9;61,2;15,1;23,7;
Östra Göinge;1256;Skåne län;12;Samtliga;78;17,1;57,7;14,1;28,2;86;17,1;64,0;8,1;27,9;
Östra Göinge;1256;Skåne län;12;Kommunal;71;17,1;57,7;15,5;26,8;82;17,1;65,9;8,5;25,6;
Östra Göinge;1256;Skåne län;12;Enskild;..;16,7;..;.;..;..;..;..;.;..;
Överkalix;2513;Norrbottens län;25;Samtliga;14;16,9;64,3;..;..;8;16,9;~100;..;..;
Överkalix;2513;Norrbottens län;25;Kommunal;11;16,9;~100;..;..;5;16,8;..;.;..;
Överkalix;2513;Norrbottens län;25;Enskild;..;..;..;..;.;..;..;..;..;.;
Övertorneå;2518;Norrbottens län;25;Samtliga;18;11,6;~100;..;..;15;11,7;..;..;46,7;
Övertorneå;2518;Norrbottens län;25;Kommunal;14;11,7;~100;..;..;15;11,7;..;..;46,7;
Övertorneå;2518;Norrbottens län;25;Enskild;..;..;..;.;.;..;.;.;.;.;

Rapportbeskrivning och definitioner etc.  
 
Samtliga uppgifter avser elever i skolor med betyg enligt det mål- och kunskapsrelaterade betygssystemet.

OBS! Måtten som visar andel som fått godkänt betyg (A-E) i alla ämnen och andel som inte fått A-E i ett, 
flera eller alla ämnen är inte direkt jämförbara mellan län, kommuner, huvudmän eller skolenheter.
Läs mer om måttens jämförbarhet i analysstödet.

Observera att uppgifter från och med läsåret 2023/24 dubbelprickas om de baseras på färre än 10 elever på skolenhetsnivå
respektive färre än 5 elever på riks-, läns, kommun- eller huvudmannanivå. Då visas två prickar (..) i stället för utfall.
Tidigare läsår dubbelprickas uppgifter på alla summeringsnivåer om de baseras på färre än 10 elever.	
Om enbart en av andelsuppgifterna dubbelprickas, prickas även den andelsuppgift som baseras
på näst lägst antal elever. Detta för att det inte ska vara möjligt att räkna fram ett värde utifrån övriga värden.
Om antalet som ej fått godkänt betyg (A-E) är färre än 5 elever, så visas andelen som fått A-E som ~100.
Om data saknas visas en prick (.) istället för utfall. 
 

Antal elever;Antal elever som fått eller skulle ha fått betyg. Avser elever med betyg A-F, streck eller anpassad studiegång.;
Antal ämnesbetyg (genomsnitt);Genomsnittligt antal ämnesbetyg eleverna ska ha fått betyg i enligt ordinarie undervisning.;
;Avser ämnen där eleverna  har betyg A-F, streck eller anpassad studiegång. För elever som har;
;fått ämnesövergripande undervisning i NO- och/eller SO-ämnen med blockbetyg, ingår det som ett betyg.;
Andel (%) elever som fått godkänt betyg i alla ämnen;Andel elever med godkänt betyg (A-E) i alla ämnen som respektive elev enligt uppgift har eller ska ha läst.;
;Andelen beräknas utifrån elever med betyg A-F, streck eller anpassad studiegång. För elever som har fått ;
;ämnesövergripande undervisning i NO- och/eller SO-ämnen med blockbetyg, ingår det som ett betyg.;
Andel (%) elever som ej fått godkänt betyg i ett ämne;Andel elever som saknade godkänt betyg i ett ämne. Detta innefattar elever med F, streck eller anpassad;
;studiegång i ett ämne. Andelen beräknas utifrån elever med betyg A-F, streck eller anpassad studiegång.;
;Elever som enbart läst ett ämne ingår inte. För elever som har fått ämnesövergripande undervisning i NO-;
;och/eller SO-ämnen med blockbetyg, ingår det som ett betyg.;
Andel (%) elever som ej fått godkänt betyg i fler, alternativt alla ämnen;Andel elever som saknade godkänt betyg i flera eller alla ämnen. Andelen beräknas utifrån elever med betyg A-F,;
;streck eller anpassad studiegång. För elever som har fått ämnesövergripande undervisning i NO- och/eller SO- ;
;ämnen med blockbetyg, ingår det som ett betyg.;



